Berufsgruppe,Total,Männer,Frauen,pay_gap
Bau- und Ausbaufachkräfte,6000,6100,4200,31.15
Akademische und verwandte Gesundheitsberufe,8500,10500,7700,26.67
Bediener stationärer Anlagen und Maschinen,5500,6000,4500,25.00
Führungskräfte im kaufmännischen Bereich,10900,11900,9200,22.69
"Naturwissenschaftler, Mathematiker und Ingenieure",8200,8600,6700,22.09
"Metallarbeiter, Mechaniker",6000,6100,4800,21.31
Techniker,6700,7600,6100,19.74
"Führungskräfte im Gastgewerbe, Handel und sonst. Dienstleistungen",5200,6100,4900,19.67
Hilfsarbeitskräfte,5800,6200,5000,19.35
Handwerkliche Fachkräfte,5400,5700,4600,19.30
Akademische Berufe,8900,9600,7800,18.75
Führungskräfte,9700,10200,8300,18.63
"Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete",10600,11300,9200,18.58
Verkaufskräfte,4800,5600,4600,17.86
Führungskräfte in der Produktion und bei speziellen Dienstleistungen,9800,10200,8400,17.65
Informations- und Kommunikationstechniker,7200,7500,6200,17.33
"Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe",6200,6500,5400,16.92
Montageberufe,6000,6200,5200,16.13
"Hilfsarbeiter im Bau, Warenprdouktion und Transport",5500,5600,4700,16.07
Fachkräfte in der Informations- und Kommunikationstechnologie,9600,9800,8300,15.31
Ingenieurtechnische Fachkräfte,7300,7400,6300,14.86
Kaufmännische Fachkräfte und Verwaltungsfachkräfte,7300,8100,6900,14.81
"Juristen, Sozialwissenschaftler und Kulturberufe",8900,9500,8300,12.63
Handwerksberufe,6300,6400,5600,12.50
Betriebswirte,8000,8500,7500,11.76
Fachkräfte in der Landwirtschaft,5100,5200,4600,11.54
Lehrkräfte,8200,8800,7800,11.36
Reinigungspersonal und Hilfskräfte,4100,4500,4000,11.11
"Juristische, sozialpflegerische und kulturelle Fachkräfte",6600,7000,6300,10.00
Allgemeine Büro- und Sekretariatskräfte,6400,6900,6300,8.70
Bürokräfte im Finanz- und Rechnungswesen,5400,5500,5100,7.27
Berufe im Bereich personenbezogener Dienstleistungen,4600,4700,4400,6.38
Betreuungsberufe,5300,5600,5300,5.36
Fahrzeugführer und Bediener mobiler Anlagen,5600,5600,5300,5.36
Elektriker und Elektroniker,6100,6100,6000,1.64
Abfallentsorgungsarbeiter und sonstige Hilfsarbeitskräfte,5400,5400,5500,-1.85
Dienstleistungsberufe und Verkäufer,6800,6700,6900,-2.99
Bürokräfte mit Kundenkontakt,5400,5300,5500,-3.77
Assistenzberufe im Gesundheitswesen,6700,6400,6700,-4.69
Schutzkräfte und Sicherheitsbedienstete,5200,5100,5500,-7.84
Sonstige Bürokräfte,5900,4300,6100,-41.86
