"jahr","Benzin","Diesel","Hybrid","Andere","Gas","Elektrisch"
2002,563.281,29.275,NA,0.058,0.089,0.056
2003,560.331,36.909,NA,0.068,0.148,0.054
2004,560.509,45.707,NA,0.155,0.247,0.052
2005,555.556,55.279,NA,0.45,0.36,0.045
2006,549.825,65.836,0.887,0.02,0.554,0.041
2007,544.039,77.63,1.606,0.154,0.929,0.037
2008,539.288,89.76,2.318,0.41,1.177,0.034
2009,534.888,101.235,2.95,0.56,1.372,0.045
2010,531.765,112.902,3.755,0.642,1.511,0.15
2011,528.555,127.275,4.748,0.702,1.604,0.239
2012,522.567,145.566,5.93,0.783,1.652,0.432
2013,513.063,162.523,7.189,0.806,1.704,0.697
2014,503.13,176.102,8.426,0.807,1.749,1.181
2015,496.447,191.412,9.864,0.821,1.816,2.11
2016,489.496,204.134,11.408,0.823,1.89,2.815
2017,482.415,213.485,13.238,0.795,1.989,3.533
2018,478.447,216.955,15.201,0.744,2.041,4.867
2019,474.037,218.418,18.994,0.709,2.09,6.874
